,BP1,BP2,BP3,BP4,BP5
S3: Pedestrian injury share,—,—,—,—,—
S4: Cyclist injury share,2020-04-20 *,2020-11-09,—,—,—
S5: Motorist injury share,2021-08-23,—,—,—,—
S6: Fatal crash share,2020-03-23 *,—,—,—,—
